Gene	CTL_7	CTL_9	SLE_13	SLE_14	sh7278_1	sh7278_2	shNC_1	shNC_2	Symbol	Chr	GeneType	Description
ENSG00000237851.1	0	2	2	1	2	0	0	0	RP1-67K17.4	chr6	lincRNA	--
ENSG00000164054.15	5953	5043	7929	11492	4439	3867	4401	3010	SHISA5	chr3	protein_coding	shisa family member 5
ENSG00000257527.1	5	12	3	7	9	8	11	13	MIR3179-3	chr16	lincRNA	microRNA 3179-3
ENSG00000140830.8	250	218	225	392	1155	1094	1135	791	TXNL4B	chr16	protein_coding	thioredoxin-like 4B
ENSG00000225193.5	1	0	2	1	2	1	0	1	RPS12P26	chr15	transcribed_processed_pseudogene	ribosomal protein S12 pseudogene 26
ENSG00000204444.10	104	113	131	159	183	158	177	123	APOM	chr6	protein_coding	apolipoprotein M
ENSG00000271402.1	0	0	0	2	1	0	0	0	IGKV2OR2-2	chr2	IG_V_pseudogene	immunoglobulin kappa variable 2/OR2-2 (pseudogene)
ENSG00000228477.1	1	1	0	4	4	10	16	8	RP3-342P20.2	chr1	processed_pseudogene	--
ENSG00000235927.4	6	5	1	5	7	2	0	4	NEXN-AS1	chr1	antisense	NEXN antisense RNA 1
ENSG00000163249.9	385	125	153	449	496	562	537	379	CCNYL1	chr2	protein_coding	cyclin Y-like 1
ENSG00000265808.3	1871	887	1133	2862	4892	5725	5341	4133	SEC22B	chr1	protein_coding	SEC22 vesicle trafficking protein homolog B (S. cerevisiae) (gene/pseudogene)
ENSG00000272370.1	5	6	6	10	2	9	4	5	RP11-307L14.1	chr5	lincRNA	--
ENSG00000197008.9	195	102	60	216	591	911	671	605	ZNF138	chr7	protein_coding	zinc finger protein 138
ENSG00000180881.19	11	6	2	2	25	45	38	30	CAPS2	chr12	protein_coding	calcyphosine 2
ENSG00000163904.12	626	339	470	1029	2032	2493	2409	1734	SENP2	chr3	protein_coding	SUMO1/sentrin/SMT3 specific peptidase 2
ENSG00000135638.13	0	0	0	0	169	150	163	83	EMX1	chr2	protein_coding	empty spiracles homeobox 1
ENSG00000185710.9	35	6	5	60	60	67	50	48	SMG1P4	chr16	transcribed_unprocessed_pseudogene	SMG1 pseudogene 4
ENSG00000254673.1	231	75	40	390	648	827	636	541	RP11-598P20.5	chr8	protein_coding	--
ENSG00000100603.13	1552	1041	995	2669	3695	4786	3574	3152	SNW1	chr14	protein_coding	SNW domain containing 1
ENSG00000165480.15	11	4	21	215	2353	2924	2561	2089	SKA3	chr13	protein_coding	spindle and kinetochore associated complex subunit 3
ENSG00000223861.1	1	2	4	0	0	0	0	0	RP11-74C1.2	chr1	processed_pseudogene	--
ENSG00000009413.15	560	389	381	882	1145	1608	1824	1293	REV3L	chr6	protein_coding	REV3-like, polymerase (DNA directed), zeta, catalytic subunit
ENSG00000236056.1	7	8	13	19	0	0	0	0	GAPDHP14	chr21	processed_pseudogene	glyceraldehyde-3-phosphate dehydrogenase pseudogene 14
ENSG00000227001.3	5	0	0	4	9	1	5	4	NBPF2P	chr1	unprocessed_pseudogene	neuroblastoma breakpoint family, member 2, pseudogene
ENSG00000224186.8	66	35	66	52	226	240	203	158	C5orf66	chr5	antisense	chromosome 5 open reading frame 66
ENSG00000184988.8	218	317	255	291	328	240	294	228	TMEM106A	chr17	protein_coding	transmembrane protein 106A
ENSG00000261118.1	4	9	5	8	12	15	12	12	RP11-104N10.1	chr16	antisense	--
ENSG00000225217.1	1688	1061	129	324	2	1	1	0	HSPA7	chr1	unprocessed_pseudogene	heat shock 70kDa protein 7 (HSP70B)
ENSG00000087274.16	5242	3064	3441	6859	8498	8020	8894	5929	ADD1	chr4	protein_coding	adducin 1 (alpha)
ENSG00000251569.1	1	0	0	0	5	8	8	5	RP11-724O16.1	chr2	protein_coding	--
ENSG00000269711.1	1309	2323	2050	2148	3484	3512	2659	2370	CTD-3214H19.16	chr19	protein_coding	--
ENSG00000226996.5	1	0	0	0	0	0	0	0	AP000477.3	chr21	lincRNA	--
