Gene	CTL_7	CTL_9	SLE_13	SLE_14	sh7278_1	sh7278_2	shNC_1	shNC_2	Symbol	Chr	GeneType	Description
ENSG00000237851.1	0.0	0.17	0.18	0.06	0.09	0.0	0.0	0.0	RP1-67K17.4	chr6	lincRNA	--
ENSG00000164054.15	62.77	56.64	94.06	91.25	26.68	22.15	26.7	25.08	SHISA5	chr3	protein_coding	shisa family member 5
ENSG00000257527.1	0.33	0.85	0.23	0.35	0.34	0.29	0.42	0.69	MIR3179-3	chr16	lincRNA	microRNA 3179-3
ENSG00000140830.8	3.01	2.8	3.05	3.55	7.93	7.16	7.86	7.53	TXNL4B	chr16	protein_coding	thioredoxin-like 4B
ENSG00000225193.5	0.09	0.0	0.21	0.07	0.1	0.05	0.0	0.07	RPS12P26	chr15	transcribed_processed_pseudogene	ribosomal protein S12 pseudogene 26
ENSG00000204444.10	2.27	2.63	3.22	2.62	2.28	1.88	2.23	2.12	APOM	chr6	protein_coding	apolipoprotein M
ENSG00000271402.1	0.0	0.0	0.0	0.18	0.07	0.0	0.0	0.0	IGKV2OR2-2	chr2	IG_V_pseudogene	immunoglobulin kappa variable 2/OR2-2 (pseudogene)
ENSG00000228477.1	0.05	0.05	0.0	0.15	0.11	0.27	0.46	0.32	RP3-342P20.2	chr1	processed_pseudogene	--
ENSG00000235927.4	0.09	0.08	0.02	0.06	0.06	0.02	0.0	0.05	NEXN-AS1	chr1	antisense	NEXN antisense RNA 1
ENSG00000163249.9	3.18	1.1	1.42	2.79	2.33	2.52	2.55	2.47	CCNYL1	chr2	protein_coding	cyclin Y-like 1
ENSG00000265808.3	9.8	4.95	6.68	11.29	14.61	16.3	16.1	17.12	SEC22B	chr1	protein_coding	SEC22 vesicle trafficking protein homolog B (S. cerevisiae) (gene/pseudogene)
ENSG00000272370.1	0.35	0.45	0.48	0.53	0.08	0.34	0.16	0.28	RP11-307L14.1	chr5	lincRNA	--
ENSG00000197008.9	2.48	1.38	0.86	2.07	4.29	6.3	4.91	6.09	ZNF138	chr7	protein_coding	zinc finger protein 138
ENSG00000180881.19	0.1	0.06	0.02	0.01	0.13	0.22	0.2	0.22	CAPS2	chr12	protein_coding	calcyphosine 2
ENSG00000163904.12	3.97	2.29	3.35	4.92	7.35	8.59	8.79	8.69	SENP2	chr3	protein_coding	SUMO1/sentrin/SMT3 specific peptidase 2
ENSG00000135638.13	0.0	0.0	0.0	0.0	1.17	0.99	1.14	0.8	EMX1	chr2	protein_coding	empty spiracles homeobox 1
ENSG00000185710.9	0.26	0.05	0.04	0.33	0.25	0.27	0.21	0.28	SMG1P4	chr16	transcribed_unprocessed_pseudogene	SMG1 pseudogene 4
ENSG00000254673.1	13.45	4.65	2.62	17.1	21.5	26.15	21.31	24.89	RP11-598P20.5	chr8	protein_coding	--
ENSG00000100603.13	25.1	17.93	18.1	32.5	34.06	42.04	33.26	40.28	SNW1	chr14	protein_coding	SNW domain containing 1
ENSG00000165480.15	0.14	0.05	0.29	2.01	16.66	19.74	18.31	20.51	SKA3	chr13	protein_coding	spindle and kinetochore associated complex subunit 3
ENSG00000223861.1	0.07	0.16	0.33	0.0	0.0	0.0	0.0	0.0	RP11-74C1.2	chr1	processed_pseudogene	--
ENSG00000009413.15	1.81	1.34	1.38	2.14	2.11	2.82	3.39	3.3	REV3L	chr6	protein_coding	REV3-like, polymerase (DNA directed), zeta, catalytic subunit
ENSG00000236056.1	0.27	0.33	0.57	0.55	0.0	0.0	0.0	0.0	GAPDHP14	chr21	processed_pseudogene	glyceraldehyde-3-phosphate dehydrogenase pseudogene 14
ENSG00000227001.3	0.27	0.0	0.0	0.17	0.28	0.03	0.16	0.17	NBPF2P	chr1	unprocessed_pseudogene	neuroblastoma breakpoint family, member 2, pseudogene
ENSG00000224186.8	0.38	0.22	0.43	0.23	0.74	0.75	0.68	0.72	C5orf66	chr5	antisense	chromosome 5 open reading frame 66
ENSG00000184988.8	2.4	3.73	3.16	2.42	2.06	1.44	1.87	1.99	TMEM106A	chr17	protein_coding	transmembrane protein 106A
ENSG00000261118.1	0.14	0.33	0.2	0.21	0.24	0.28	0.24	0.33	RP11-104N10.1	chr16	antisense	--
ENSG00000225217.1	31.77	21.27	2.73	4.59	0.02	0.01	0.01	0.0	HSPA7	chr1	unprocessed_pseudogene	heat shock 70kDa protein 7 (HSP70B)
ENSG00000087274.16	37.87	23.58	27.97	37.31	34.99	31.47	36.97	33.85	ADD1	chr4	protein_coding	adducin 1 (alpha)
ENSG00000251569.1	0.02	0.0	0.0	0.0	0.05	0.08	0.09	0.07	RP11-724O16.1	chr2	protein_coding	--
ENSG00000269711.1	61.11	115.51	107.67	75.51	92.7	89.06	71.42	87.43	CTD-3214H19.16	chr19	protein_coding	--
ENSG00000226996.5	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AP000477.3	chr21	lincRNA	--
ENSG00000173976.15	0.05	0.02	0.12	0.0	0.01	0.0	0.0	0.0	RAX2	chr19	protein_coding	retina and anterior neural fold homeobox 2
ENSG00000123405.13	9.84	17.15	88.38	24.16	0.86	0.61	0.84	0.77	NFE2	chr12	protein_coding	nuclear factor, erythroid 2
ENSG00000094880.10	3.76	1.81	1.19	5.09	14.82	15.89	14.59	16.03	CDC23	chr5	protein_coding	cell division cycle 23
ENSG00000174175.16	1.58	1.51	1.54	0.75	0.16	0.12	0.13	0.15	SELP	chr1	protein_coding	selectin P (granule membrane protein 140kDa, antigen CD62)
ENSG00000106624.8	2.66	2.53	1.63	0.64	45.43	37.33	47.38	38.46	AEBP1	chr7	protein_coding	AE binding protein 1
ENSG00000273712.1	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	RP5-874C20.7	chr6	processed_pseudogene	--
ENSG00000259813.1	0.68	0.91	1.53	0.9	2.52	2.13	1.27	1.35	RP5-1142A6.5	chr16	antisense	--
ENSG00000197467.13	0.06	0.09	0.17	0.0	0.02	0.0	0.0	0.01	COL13A1	chr10	protein_coding	collagen, type XIII, alpha 1
ENSG00000163626.16	2.4	1.46	0.99	1.73	4.24	4.61	4.6	4.82	COX18	chr4	protein_coding	COX18 cytochrome c oxidase assembly factor
ENSG00000111775.2	159.92	167.85	209.39	220.8	629.8	586.61	561.51	574.0	COX6A1	chr12	protein_coding	cytochrome c oxidase subunit VIa polypeptide 1
ENSG00000270689.1	0.0	0.0	0.0	0.0	0.07	0.08	0.06	0.08	BUD13P1	chr11	processed_pseudogene	BUD13 homolog (S. cerevisiae) pseudogene 1
ENSG00000265675.2	0.49	1.94	0.68	0.0	0.0	0.0	0.0	0.0	RN7SL708P	chr19	misc_RNA	RNA, 7SL, cytoplasmic 708, pseudogene
ENSG00000248787.1	0.08	0.81	0.19	0.19	0.05	0.18	0.05	0.07	RP11-666A20.4	chr3	lincRNA	--
ENSG00000171962.17	0.04	0.09	0.05	0.02	0.13	0.1	0.11	0.03	LRRC48	chr17	protein_coding	leucine rich repeat containing 48
ENSG00000259318.1	0.37	0.0	0.0	0.37	0.21	0.2	0.28	0.29	RP11-454L9.2	chr14	processed_pseudogene	--
ENSG00000133106.14	12.87	4.78	15.4	65.68	1.16	1.49	1.22	1.59	EPSTI1	chr13	protein_coding	epithelial stromal interaction 1 (breast)
ENSG00000243081.2	0.05	0.05	0.05	0.03	0.0	0.01	0.0	0.0	RP11-231E6.1	chr3	lincRNA	--
ENSG00000168874.12	0.21	0.73	0.64	0.08	0.02	0.02	0.03	0.02	ATOH8	chr2	protein_coding	atonal homolog 8 (Drosophila)
ENSG00000255428.1	0.08	0.06	0.05	0.03	0.04	0.03	0.02	0.06	RP11-794P6.1	chr11	sense_intronic	--
ENSG00000131323.14	3.71	2.26	1.62	4.41	14.3	14.74	15.65	14.89	TRAF3	chr14	protein_coding	TNF receptor-associated factor 3
ENSG00000271774.1	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	RP4-678D15.1	chr20	antisense	--
ENSG00000279713.1	0.0	0.0	0.0	0.0	0.07	0.07	0.03	0.06	CTD-3035K23.3	chr17	TEC	--
ENSG00000105993.14	25.91	13.17	17.23	32.35	26.33	30.05	25.93	27.43	DNAJB6	chr7	protein_coding	DnaJ (Hsp40) homolog, subfamily B, member 6
ENSG00000112195.8	0.79	0.48	11.85	3.12	3.47	2.66	4.28	3.44	TREML2	chr6	protein_coding	triggering receptor expressed on myeloid cells-like 2
ENSG00000107959.15	10.05	8.41	4.87	9.81	14.95	13.04	15.52	14.23	PITRM1	chr10	protein_coding	pitrilysin metallopeptidase 1
ENSG00000227678.7	5.51	2.93	0.2	2.5	0.12	0.09	0.03	0.03	RP11-73O6.3	chr6	antisense	--
ENSG00000254618.1	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.09	TMED10P1	chr8	processed_pseudogene	transmembrane emp24-like trafficking protein 10 (yeast) pseudogene 1
ENSG00000268975.1	16.38	17.2	17.5	16.07	9.99	8.58	9.48	9.21	MIA-RAB4B	chr19	protein_coding	MIA-RAB4B readthrough (NMD candidate)
ENSG00000237886.1	1.67	1.88	3.19	1.15	0.59	0.24	0.4	0.13	LINC01573	chr9	antisense	long intergenic non-protein coding RNA 1573
ENSG00000184459.8	0.0	0.03	0.0	0.01	0.0	0.0	0.0	0.0	BPIFC	chr22	protein_coding	BPI fold containing family C
ENSG00000025293.15	8.67	11.36	7.67	5.73	8.53	9.22	9.34	9.38	PHF20	chr20	protein_coding	PHD finger protein 20
ENSG00000105229.6	6.15	6.47	8.93	6.62	14.14	10.93	13.13	12.08	PIAS4	chr19	protein_coding	protein inhibitor of activated STAT, 4
